,seconds,dispx,dispy,dispz,temperature,humidity,pressure,oxygen,uv_idx,eulerx,eulery,eulerz,accelx,accely,accelz
0,1.001,0.0,0.0,0.0,21.440000534057617,51.6591796875,100722.3125,20.56795883178711,0,0.0,0.1875,-0.75,0.0,0.019999999552965164,-0.4000000059604645
1,2.002,0.0,0.005010004888017661,-0.19539019529861953,21.440000534057617,51.646484375,100718.7578125,20.584199905395508,0,0.0,0.1875,-0.75,0.0,0.0,-0.3799999952316284
2,3.003,0.0,0.015030014664052987,-0.7765507735069024,21.440000534057617,51.63671875,100719.328125,20.578786849975586,0,0.0,0.1875,-0.75,0.0,0.0,-0.3799999952316284
3,4.004,0.0,0.025050024440088303,-1.7334617267151844,21.440000534057617,51.6357421875,100716.1015625,20.584199905395508,0,0.0,0.1875,-0.75,0.0,0.0,-0.36000001430511475
4,5.005,-0.0025050024440088324,0.03507003421612363,-3.058608054590337,21.43000030517578,51.623046875,100717.9609375,20.580951690673828,0,0.0,0.1875,-0.75,-0.009999999776482582,0.0,-0.3700000047683716
5,6.006,-0.012525012220044162,0.04258504154815013,-4.7519897571323595,21.440000534057617,51.6142578125,100714.015625,20.585010528564453,0,0.0,0.1875,-0.75,-0.009999999776482582,-0.009999999776482582,-0.3700000047683716
6,7.007,-0.03006002932810597,0.04258504154815013,-6.816111834452293,21.440000534057617,51.6142578125,100716.171875,20.585012435913086,0,0.0,0.1875,-0.75,0.0,-0.009999999776482582,-0.3700000047683716
7,8.008,-0.047595046436167784,0.04258504154815013,-9.253479286661182,21.440000534057617,51.6142578125,100718.234375,20.589885711669922,0,0.0,0.1875,-0.75,0.009999999776482582,0.029999999329447746,-0.3799999952316284
8,9.009,-0.06012005865621196,0.05761505621220314,-12.074112121668696,21.450000762939453,51.603515625,100718.296875,20.583385467529297,0,0.0,0.1875,-0.75,0.0,0.009999999776482582,-0.4000000059604645
9,10.01,-0.07014006843224728,0.08517008309630028,-15.278010339474825,21.440000534057617,51.603515625,100715.234375,20.58988380432129,0,0.0,0.1875,-0.75,0.0,0.0,-0.3499999940395355
