Altitude,Temperature
3704,-6.36
3712,-6.42
3720,-6.48
3728,-6.54
3736,-6.6
3744,-6.66
3752,-6.72
3760,-6.78
3768,-6.84
3776,-6.9
3784,-6.96
3792,-7.02
3800,-7.08
3808,-7.14
3816,-7.2
3824,-7.26
3832,-7.32
3840,-7.38
3848,-7.44
3856,-7.5
3864,-7.56
3872,-7.62
3880,-7.68
3888,-7.74
3896,-7.8
3904,-7.86
3912,-7.92
3920,-7.98
3928,-8.04
3936,-8.1
3944,-8.16
3952,-8.22
3960,-8.28
3968,-8.34
3976,-8.4
3984,-8.46
3992,-8.52
4000,-8.58
4008,-8.64
4016,-8.7
4024,-8.76
4032,-8.82
4040,-8.88
4048,-8.94
4056,-9
4064,-9.06
4072,-9.12
4080,-9.18
4088,-9.24
4096,-9.3
4104,-9.36
4112,-9.42
4120,-9.48
4128,-9.54
4136,-9.6
4144,-9.66
4152,-9.72
4160,-9.78
4168,-9.84
4176,-9.9
4184,-9.96
4192,-10.02
4200,-10.08
4208,-10.14
4216,-10.2
4224,-10.26
4232,-10.32
4240,-10.38
4248,-10.44
4256,-10.5
4264,-10.56
4272,-10.62
4280,-10.68
4288,-10.74
4296,-10.8
4304,-10.86
4312,-10.92
4320,-10.98
4328,-11.04
4336,-11.1
4344,-11.16
4352,-11.22
4360,-11.28
4368,-11.34
4376,-11.4
4384,-11.46
4392,-11.52
4400,-11.58
4408,-11.64
4416,-11.7
4424,-11.76
4432,-11.82
4440,-11.88
4448,-11.94
4456,-12
4464,-12.06
4472,-12.12
4480,-12.18
4488,-12.24
4496,-12.3
4504,-12.36
4512,-12.42
4520,-12.48
4528,-12.54
4536,-12.6
4544,-12.66
4552,-12.72
4560,-12.78
4568,-12.84
4576,-12.9
4584,-12.96
4592,-13.02
4600,-13.08
4608,-13.14
4616,-13.2
4624,-13.26
4632,-13.32
4640,-13.38
4648,-13.44
4656,-13.5
4664,-13.56
4672,-13.62
4680,-13.68
4688,-13.74
4696,-13.8
4704,-13.86
4712,-13.92
4720,-13.98
4728,-14.04
4736,-14.1
4744,-14.16
4752,-14.22
4760,-14.28
4768,-14.34
4776,-14.4
4784,-14.46
4792,-14.52
4800,-14.58
4808,-14.64
4816,-14.7
4824,-14.76
4832,-14.82
4840,-14.88
4848,-14.94
4856,-15
4864,-15.06
4872,-15.12
4880,-15.18
4888,-15.24
4896,-15.3
4904,-15.36
4912,-15.42
4920,-15.48
4928,-15.54
4936,-15.6
4944,-15.66
4952,-15.72
4960,-15.78
4968,-15.84
4976,-15.9
4984,-15.96
4992,-16.02
5000,-16.08
5008,-16.14
5016,-16.2
5024,-16.26
5032,-16.32
5040,-16.38
5048,-16.44
5056,-16.5
5064,-16.56
5072,-16.62
5080,-16.68
5088,-16.74
5096,-16.8
5104,-16.86
5112,-16.92
5120,-16.98
5128,-17.04
5136,-17.1
5144,-17.16
5152,-17.22
5160,-17.28
5168,-17.34
5176,-17.4
5184,-17.46
5192,-17.52
5200,-17.58
5208,-17.64
5216,-17.7
5224,-17.76
5232,-17.82
5240,-17.88
5248,-17.94
5256,-18
5264,-18.06
5272,-18.12
5280,-18.18
5288,-18.24
5296,-18.3
5304,-18.36
5312,-18.42
5320,-18.48
5328,-18.54
5336,-18.6
5344,-18.66
5352,-18.72
5360,-18.78
5368,-18.84
5376,-18.9
5384,-18.96
5392,-19.02
5400,-19.08
5408,-19.14
5416,-19.2
5424,-19.26
5432,-19.32
5440,-19.38
5448,-19.44
5456,-19.5
5464,-19.56
5472,-19.62
5480,-19.68
5488,-19.74
5496,-19.8
5504,-19.86
5512,-19.92
5520,-19.98
5528,-20.04
5536,-20.1
5544,-20.16
5552,-20.22
5560,-20.28
5568,-20.34
5576,-20.4
5584,-20.46
5592,-20.52
5600,-20.58
5608,-20.64
5616,-20.7
5624,-20.76
5632,-20.82
5640,-20.88
5648,-20.94
5656,-21
5664,-21.06
5672,-21.12
5680,-21.18
5688,-21.24
5696,-21.3
5704,-21.36
5712,-21.42
5720,-21.48
5728,-21.54
5736,-21.6
5744,-21.66
5752,-21.72
5760,-21.78
5768,-21.84
5776,-21.9
5784,-21.96
5792,-22.02
5800,-22.08
5808,-22.14
5816,-22.2
5824,-22.26
5832,-22.32
5840,-22.38
5848,-22.44
5856,-22.5
5864,-22.56
5872,-22.62
5880,-22.68
5888,-22.74
5896,-22.8
5904,-22.86
5912,-22.92
5920,-22.98
5928,-23.04
5936,-23.1
5944,-23.16
5952,-23.22
5960,-23.28
5968,-23.34
5976,-23.4
5984,-23.46
5992,-23.52
6000,-23.58
6008,-23.64
6016,-23.7
6024,-23.76
6032,-23.82
6040,-23.88
6048,-23.94
6056,-24
6064,-24.06
6072,-24.12
6080,-24.18
6088,-24.24
6096,-24.3
6104,-24.36
6112,-24.42
6120,-24.48
6128,-24.54
6136,-24.6
6144,-24.66
6152,-24.72
6160,-24.78
6168,-24.84
6176,-24.9
6184,-24.96
6192,-25.02
6200,-25.08
6208,-25.14
6216,-25.2
6224,-25.26
6232,-25.32
6240,-25.38
6248,-25.44
6256,-25.5
6264,-25.56
6272,-25.62
6280,-25.68
6288,-25.74
6296,-25.8
6304,-25.86
6312,-25.92
6320,-25.98
6328,-26.04
6336,-26.1
6344,-26.16
6352,-26.22
6360,-26.28
6368,-26.34
6376,-26.4
6384,-26.46
6392,-26.52
6400,-26.58
6408,-26.64
6416,-26.7
6424,-26.76
6432,-26.82
6440,-26.88
6448,-26.94
6456,-27
6464,-27.06
6472,-27.12
6480,-27.18
6488,-27.24
6496,-27.3
6504,-27.36
6512,-27.42
6520,-27.48
6528,-27.54
6536,-27.6
